Name,Latitude,Longitude,Location,Country,Rating,Wikipedia link,Picture link
Amer Fort,26.9239,75.8513,Jaipur,India,3,https://en.wikipedia.org/wiki/Amber_Fort,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Amber_Fort_%28%E0%A4%86%E0%A4%AE%E0%A5%87%E0%A4%B0_%E0%A4%95%E0%A4%BE_%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A4%BE_%29.jpg/1024px-Amber_Fort_%28%E0%A4%86%E0%A4%AE%E0%A5%87%E0%A4%B0_%E0%A4%95%E0%A4%BE_%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A4%BE_%29.jpg
Aurora,80,0,Poles,Northen Pole,3,http://en.wikipedia.org/wiki/Aurora,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Aurora_australis_20050911.jpg/220px-Aurora_australis_20050911.jpg
Bell Rock Lighthouse,56.4342,-2.3872,United Kingdom,United Kingdom,2,http://en.wikipedia.org/wiki/Bell_Rock_Lighthouse,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bell_Rock_Lighthouse.jpg/220px-Bell_Rock_Lighthouse.jpg
Big Ben,51.5007,0.1246,London,United Kingdom,4,https://en.wikipedia.org/wiki/Big_Ben,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Clock_Tower_-_Palace_of_Westminster%2C_London_-_May_2007.jpg/360px-Clock_Tower_-_Palace_of_Westminster%2C_London_-_May_2007.jpg
Brooklyn Bridge,40.7056,-73.9964,New York,United States,2,http://en.wikipedia.org/wiki/Brooklyn_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Brooklyn_Bridge_Postdlf.jpg/280px-Brooklyn_Bridge_Postdlf.jpg
Cancun ,21.1619,-86.8515,Riviera Maya,Mexico,4,https://en.wikipedia.org/wiki/Canc%C3%BAn,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Canc%C3%BAnCollage.jpg/800px-Canc%C3%BAnCollage.jpg
Catacombs of Kom el Shoqafa,31.1786,29.893,Alexandria,Egypt,2,http://en.wikipedia.org/wiki/Catacombs_of_Kom_el_Shoqafa,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/113KOM_EL_SHOQAFA_CATACOMBS.jpg/220px-113KOM_EL_SHOQAFA_CATACOMBS.jpg
Channel Tunnel,51.0125,-1.5041,English Channel,United States,1,http://en.wikipedia.org/wiki/Channel_Tunnel,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Channel_Tunnel_NRM.jpg/220px-Channel_Tunnel_NRM.jpg
Chichen Itza,20.6828,-88.5686,Yucatán,Mexico,5,http://en.wikipedia.org/wiki/Chichen_Itza,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/800px-Chichen_Itza_3.jpg
Christ the Redeemer (statue),-21.0481,-43.2106,Brazil,Brazil,5,http://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue),http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cristo_Redentor_Rio_de_Janeiro_4.jpg/640px-Cristo_Redentor_Rio_de_Janeiro_4.jpg
CN Tower,43.6425,-78.6131,Toronto,Canada,1,http://en.wikipedia.org/wiki/CN_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/240px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
Colosseum,41.89,12.4922,Rome,Italy,5,http://en.wikipedia.org/wiki/Colosseum,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Colosseum_in_Rome%2C_Italy_-_April_2007.jpg/250px-Colosseum_in_Rome%2C_Italy_-_April_2007.jpg
Colossus of Rhodes,36.4511,28.2278,Greece,Italy,5,http://en.wikipedia.org/wiki/Colossus_of_Rhodes,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Colosse_de_Rhodes_%28Barclay%29.jpg/170px-Colosse_de_Rhodes_%28Barclay%29.jpg
Copper Canyon,27.5281,-107.7561,Chihuahua,Mexico,2,https://en.wikipedia.org/wiki/Copper_Canyon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Barranca_del_cobre_2.jpg/1024px-Barranca_del_cobre_2.jpg
Delta Works,51.65,3.72, Netherlands,Netherlands,2,http://en.wikipedia.org/wiki/Delta_Works,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/OosterscheldeKering.jpg/220px-OosterscheldeKering.jpg
Dorsoduro,45.4328,12.3246,Venice,Italy,4,https://en.wikipedia.org/wiki/Dorsoduro,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Shady_canal_in_Venice.jpg/330px-Shady_canal_in_Venice.jpg
Dunluce Castle,52.2107,6.596,Bushmills,United Kingdom,3,https://en.wikipedia.org/wiki/Dunluce_Castle,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Dunluce_Castle_Northern_Ireland_1.jpg/1024px-Dunluce_Castle_Northern_Ireland_1.jpg
Empire State Building,40.7483,-73.9856,New York,United States,4,http://en.wikipedia.org/wiki/Empire_State_Building,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/250px-Empire_State_Building_by_David_Shankbone_crop.jpg
First Transcontinental Railroad,38.9233,-121.0701,United States,United States,1,http://en.wikipedia.org/wiki/First_Transcontinental_Railroad,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/69workmen.jpg/800px-69workmen.jpg
Giant's Causeway,55.2408,6.5116,Northern Ireland,United Kingdom,1,https://en.wikipedia.org/wiki/Giant%27s_Causeway,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Causeway-code_poet-4.jpg/330px-Causeway-code_poet-4.jpg
Glacier National Park,48.7596,-113.787,Montana,United States,3,https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.),https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mountain_Goat_at_Hidden_Lake.jpg/426px-Mountain_Goat_at_Hidden_Lake.jpg
Golden Gate Bridge,37.8197,-122.4786,San Francisco,United States,3,http://en.wikipedia.org/wiki/Golden_Gate_Bridge,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Golden_Gate_Bridge_0002.jpg/270px-Golden_Gate_Bridge_0002.jpg
Grand Canyon,36.1,-112.1,"Arizona, United States",United States,4,http://en.wikipedia.org/wiki/Grand_Canyon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Grand_Canyon_view_from_Pima_Point_2010.jpg/640px-Grand_Canyon_view_from_Pima_Point_2010.jpg
Great Barrier Reef,-17.7139,147.7,Queensland,Australia,5,http://en.wikipedia.org/wiki/Great_Barrier_Reef,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Map_of_Great_Barrier_Reef_Demis.png/250px-Map_of_Great_Barrier_Reef_Demis.png
Great Pyramid of Giza,29.9792,31.1342,Giza Necropolis,Egypt,2,http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg
Great Pyramid of Giza,29.9792,31.1342,Giza Necropolis,Egypt,1,http://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/300px-Kheops-Pyramid.jpg
Great Wall of China,40.6769,117.2319,China,China,5,http://en.wikipedia.org/wiki/Great_Wall_of_China,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Great_Wall_of_China_at_Jinshanling.jpg/240px-The_Great_Wall_of_China_at_Jinshanling.jpg
Great Wall of China,40.6767,117.2317,China,China,4,http://en.wikipedia.org/wiki/Great_Wall_of_China,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Great_Wall_of_China_at_Jinshanling.jpg/800px-The_Great_Wall_of_China_at_Jinshanling.jpg
Guanabara Bay,-21.2097,-43.1556,Brazil,Brazil,2,http://en.wikipedia.org/wiki/Guanabara_Bay,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Rio_deJaneiro_LE2002059_lrg.jpg/800px-Rio_deJaneiro_LE2002059_lrg.jpg
Hagia Sophia,41.0085,28.9799,Istanbul,Turkey,5,http://en.wikipedia.org/wiki/Hagia_Sophia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/250px-Hagia_Sophia_Mars_2013.jpg
Hanging Gardens of Babylon,33.5355,44.2475,Iraq,Iraq,4,http://en.wikipedia.org/wiki/Hanging_Gardens_of_Babylon,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hanging_Gardens_of_Babylon.jpg/350px-Hanging_Gardens_of_Babylon.jpg
Hoover Dam,36.0156,-114.7378,Nevada,United States,3,http://en.wikipedia.org/wiki/Hoover_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ansel_Adams_-_National_Archives_79-AAB-01.jpg/220px-Ansel_Adams_-_National_Archives_79-AAB-01.jpg
Hyde Park,51.5073,0.1657,London,United Kingdom,3,"https://en.wikipedia.org/wiki/Hyde_Park,_London",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Hyde_Park_London_from_the_air.jpg/450px-Hyde_Park_London_from_the_air.jpg
Itaipu Dam,-24.5919,-54.5889, Brazil,Brazil,4,http://en.wikipedia.org/wiki/Itaipu_Dam,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/ItaipuAerea2AAL.jpg/250px-ItaipuAerea2AAL.jpg
Leaning Tower of Pisa,43.7231,10.3964,Pisa PI,Italy,4,http://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa,http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/The_Leaning_Tower_of_Pisa_SB.jpeg/250px-The_Leaning_Tower_of_Pisa_SB.jpeg
Lighthouse of Alexandria,31.2139,29.8856, Alexandria,Egypt,3,http://en.wikipedia.org/wiki/Lighthouse_of_Alexandria,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Lighthouse_-_Thiersch.gif/220px-Lighthouse_-_Thiersch.gif
Loch Ness and Scottish Highlands,57.3229,4.4244,Scotland,United Kingdom,3,https://en.wikipedia.org/wiki/Loch_Ness,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/LochNessUrquhart.jpg/396px-LochNessUrquhart.jpg
London Eye,51.5033,0.1196,London,United Kingdom,4,https://en.wikipedia.org/wiki/London_Eye,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/London-Eye-2009.JPG/1024px-London-Eye-2009.JPG
London sewerage system,51.5072,-0.1058,London,England,2,http://en.wikipedia.org/wiki/London_sewerage_system,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Hering_lon-sewer-det02_1882.jpg/800px-Hering_lon-sewer-det02_1882.jpg
Maasai Mara,-0.51,35.1439,Narok County,Kenya,1,http://en.wikipedia.org/wiki/Maasai_Mara,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Maasai-Mara-Typical-Scenery.JPG/800px-Maasai-Mara-Typical-Scenery.JPG
Machu Picchu,-12.8367,-72.5456,Cuzco Region,Peru,5,http://en.wikipedia.org/wiki/Machu_Picchu,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg/285px-80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg
Maui,20.7984,-156.3319,Hawaii,United States,3,https://en.wikipedia.org/wiki/Maui,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Maui_Landsat_Photo.jpg/390px-Maui_Landsat_Photo.jpg
Mausoleum at Halicarnassus,37.0378,27.4242,Bodrum,Turkey,3,http://en.wikipedia.org/wiki/Mausoleum_at_Halicarnassus,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mausoleum_of_Halicarnassus_2009.jpg/240px-Mausoleum_of_Halicarnassus_2009.jpg
Maya civilization,20.6828,-88.5686,Mexico,Mexico,2,http://en.wikipedia.org/wiki/Maya_civilization,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/800px-Chichen_Itza_3.jpg
Mount Everest,27.9881,86.9253,Nepal,Nepal,2,http://en.wikipedia.org/wiki/Mount_Everest,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Mount_Everest_as_seen_from_Drukair2_PLW_edit.jpg/280px-Mount_Everest_as_seen_from_Drukair2_PLW_edit.jpg
Mysore Palace,12.3052,76.6552,Karnataka,India,3,https://en.wikipedia.org/wiki/Mysuru_Palace,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1024px-Mysore_Palace_Morning.jpg
Old City (Jerusalem),31.7767,35.2342,Israel,Israel,2,http://en.wikipedia.org/wiki/Old_City_(Jerusalem),http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Old_City_%28Jerusalem%29.jpg/250px-Old_City_%28Jerusalem%29.jpg
Old Town ,55.949,3.1899,Edinburgh,United Kingdom,2,"https://en.wikipedia.org/wiki/Old_Town,_Edinburgh",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Old_Town_from_Princes_Street.JPG/1024px-Old_Town_from_Princes_Street.JPG
Ostuni,40.7295,17.578,Puglia,Italy,3,https://en.wikipedia.org/wiki/Ostuni,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ostuni.jpg/1024px-Ostuni.jpg
Panama Canal,9.08,-79.68,Panama,Panama,3,http://en.wikipedia.org/wiki/Panama_Canal,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/288px-Panama_Canal_Map_EN.png
Panama Canal,9.08,-79.68,Panama,Panama,4,http://en.wikipedia.org/wiki/Panama_Canal,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/288px-Panama_Canal_Map_EN.png
Papahanaumokuakea Marine National Monument,25.7,-171.7333," Honolulu County, Hawaii  ",United States,1,http://en.wikipedia.org/wiki/Papah%C4%81naumoku%C4%81kea_Marine_National_Monument,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/NHINM.png/284px-NHINM.png
Paricutin,19.4928,-102.2508,Mexico,Mexico,5,http://en.wikipedia.org/wiki/Par%C3%Adcutin,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Paricutin.jpg/280px-Paricutin.jpg
Petra,30.3286,35.4419,"Ma'an, Jordan",Jordan,5,http://en.wikipedia.org/wiki/Petra,http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Al_Khazneh.jpg/640px-Al_Khazneh.jpg
Polar ice cap,89.9999,0,Poles,Northen Pole,1,http://en.wikipedia.org/wiki/Polar_ice_cap#Earth,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Noaa3-2006-0602-1206.jpg/220px-Noaa3-2006-0602-1206.jpg
Porcelain Tower of Nanjing,32.0803,118.73,China,China,5,http://en.wikipedia.org/wiki/Porcelain_Tower_of_Nanjing,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/UB_Maastricht_-_Nieuhof_1665_-_Toren.jpg/220px-UB_Maastricht_-_Nieuhof_1665_-_Toren.jpg
Potala Palace,29.6578,91.1169,Lhasa,Tibet,2,http://en.wikipedia.org/wiki/Potala_Palace,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg/220px-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg
Puerto Vallarta,20.6534,-105.2253,Puerto Vallarta,Mexico,3,https://en.wikipedia.org/wiki/Puerto_Vallarta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Collage_Puerto_Vallarta.jpg/800px-Collage_Puerto_Vallarta.jpg
"Red Fort, New Delhi",28.6562,77.241,New Delhi,India,2,https://en.wikipedia.org/wiki/Red_Fort,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Delhi_fort.jpg/1024px-Delhi_fort.jpg
San Cassiano,46.5701,11.9361,Venice,Italy,4,https://en.wikipedia.org/wiki/San_Cassiano,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.dreamstime.com%2Fsan-cassiano-bolzano-italy-ski-resort-dolomites-view-image138153227&psig=AOvVaw0ddQKWKDcKssaq9tjFnl3X&ust=1640180340454000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPirtYmC9fQCFQAAAAAdAAAAABAD
San Gimignano,43.4676,11.0435,Tuscany,Italy,3,https://en.wikipedia.org/wiki/San_Gimignano,https://upload.wikimedia.org/wikipedia/commons/5/58/San-Gimignano-South-2012.JPG
SS Great Eastern,51.4886,-0.0056,London,England,5,http://en.wikipedia.org/wiki/SS_Great_Eastern,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Great_Eastern_1866-crop.jpg/800px-Great_Eastern_1866-crop.jpg
Statue of Liberty,40.6892,-74.0445,New York,United States,3,https://en.wikipedia.org/wiki/Statue_of_Liberty,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lady_Liberty_under_a_blue_sky_%28cropped%29.jpg/330px-Lady_Liberty_under_a_blue_sky_%28cropped%29.jpg
Statue of Zeus at Olympia,37.6378,21.63,Greece,Italy,3,http://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Statue_of_Zeus.jpg/220px-Statue_of_Zeus.jpg
Stonehenge,51.1786,-1.8261,Amesbury,United Kingdom,5,http://en.wikipedia.org/wiki/Stonehenge,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG/285px-Stonehenge%2C_Condado_de_Wiltshire%2C_Inglaterra%2C_2014-08-12%2C_DD_09.JPG
Sydney Harbour Bridge,-33.8523,151.2108,New South Wales,Australia,3,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sydney_%28AU%29%2C_Harbour_Bridge_--_2019_--_2179.jpg/1024px-Sydney_%28AU%29%2C_Harbour_Bridge_--_2019_--_2179.jpg
Sydney Opera House,-33.8568,151.2153,New South Wales,Australia,4,https://en.wikipedia.org/wiki/Sydney_Opera_House,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Sydney_Australia._%2821339175489%29.jpg/1024px-Sydney_Australia._%2821339175489%29.jpg
Taj Mahal,27.175,78.0419,"Agra, Uttar Pradesh",India,3,http://en.wikipedia.org/wiki/Taj_Mahal,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/800px-Taj_Mahal_%28Edited%29.jpeg
Temple of Artemis at Ephesus,37.9497,27.3639,Turkey,Turkey,3,http://en.wikipedia.org/wiki/Temple_of_Artemis,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Miniaturk_009.jpg/300px-Miniaturk_009.jpg
The Beaches of Goa,15.2993,74.124,Goa,India,4,https://en.wikipedia.org/wiki/Goa,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Goa_beautiful_beach.JPG/1024px-Goa_beautiful_beach.JPG
The Ellora Caves,20.0258,75.178,Aurangabad,India,2,https://en.wikipedia.org/wiki/Ellora_Caves,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg/450px-Ellora_Caves%2C_India%2C_Kailasanatha_Temple_2.jpg
The Gateway Arch,38.6247,-90.1848,St.Louis,United States,4,https://en.wikipedia.org/wiki/Gateway_Arch,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/St_Louis_night_expblend_cropped.jpg/1024px-St_Louis_night_expblend_cropped.jpg
The Gateway of India,18.922,72.8345,Mumbai,India,3,https://en.wikipedia.org/wiki/Gateway_of_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg
The Golden City: Jaisalmer,26.9157,70.9083,Jaisalmer,India,3,https://en.wikipedia.org/wiki/Jaisalmer,https://upload.wikimedia.org/wikipedia/commons/f/ff/View_from_Jaisalmer_fort.jpg?download
The Golden Temple,32.62,74.8765,Amritsar,India,3,https://en.wikipedia.org/wiki/Golden_Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Golden_Temple_nighttime.jpg/1024px-Golden_Temple_nighttime.jpg
The Holy City of Varanasi,25.3176,82.9739,Varanasi,India,2,https://en.wikipedia.org/wiki/Varanasi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Munshi_Ghat_in_Varanasi_2.jpg/1024px-Munshi_Ghat_in_Varanasi_2.jpg
Trafford centre,53.4215,2.3517,Manchester,United Kingdom,3,https://en.wikipedia.org/wiki/Trafford_Centre,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Trafford-arial.jpg/450px-Trafford-arial.jpg
Uluru-Kata Tjuta National Park,-25.3438,131.0347,Northern Territory,Australia,4,https://en.wikipedia.org/wiki/Ulu%E1%B9%9Fu-Kata_Tju%E1%B9%AFa_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/UluruClip3ArtC1941.jpg/1024px-UluruClip3ArtC1941.jpg
Varenna,4509894,9.2899,Lake Como,Italy,4,https://en.wikipedia.org/wiki/Varenna,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Varenna_and_mountain_from_ferry.jpg/375px-Varenna_and_mountain_from_ferry.jpg
Via Krupp,40.5532,14.222,Capri,Italy,4,https://en.wikipedia.org/wiki/Via_Krupp,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Capri_Via_Krupp_BW_2013-05-14_15-33-40_DxO.jpg/1024px-Capri_Via_Krupp_BW_2013-05-14_15-33-40_DxO.jpg
Victoria Falls,-16.0756,25.8567,Livingstone Zambia,Zambia,1,http://en.wikipedia.org/wiki/Victoria_Falls,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Victoriaf%C3%A4lle.jpg/220px-Victoriaf%C3%A4lle.jpg
Windsor Castle,51.4839,0.6044,Berkshire,United Kingdom,2,https://en.wikipedia.org/wiki/Windsor_Castle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Windsor_Castle_at_Sunset_-_Nov_2006.jpg/375px-Windsor_Castle_at_Sunset_-_Nov_2006.jpg
Yellowstone,44.428,-110.5885,Montana,United States,4,https://en.wikipedia.org/wiki/Yellowstone_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/YellowstonefallJUN05.JPG/375px-YellowstonefallJUN05.JPG
Yosemite,37.8651,-119.5393,California,United States,4,https://en.wikipedia.org/wiki/Yosemite_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg/1024px-Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg
